municipality_code,city_name,operation_cost
34142,Lodève,112500.0
34147,Magalas,62107.0
34172,Montpellier,2116715.0
34243,Saint-Bauzille-de-Putois,128750.0
34278,Saint-Michel,630459.45
34284,Saint-Pons-de-Thomières,249000.0
34320,Vailhauquès,89000.0
34341,Villeveyrac,62500.0
35027,Boisgervilly,3101549.58
35051,Cesson-Sévigné,100000.0
35055,Chantepie,2340303.0
35095,Dol-de-Bretagne,4228.2
35126,Guichen,1947450.0
35128,Guipel,314664.0
35136,Janzé,11702600.0
35139,Laillé,258901.44
35152,Liffré,816700.0
35167,Martigné-Ferchaud,2073288.45
35189,Montgermont,351000.0
35210,Pacé,2570000.0
35219,Pipriac,565000.0
35225,Plesder,2940865.0
35238,Rennes,2189900.0
35251,Saint-Aubin-d'Aubigné,527544.11
35253,Saint-Aubin-du-Cormier,114492.0
35273,Saint-Germain-en-Coglès,32469.04
35274,Saint-Germain-sur-Ille,827222.5
35275,Saint-Gilles,3898872.0
35294,Sainte-Marie,287442.47
36024,Bretagne,6030000.0
36087,Ingrandes,4902163.0
36103,Luçay-le-Mâle,117523.89
36126,Montchevrier,115510.0
36142,Niherne,240000.0
36196,Saint-Gilles,3898872.0
36230,Vatan,9120000.0
37077,Cinq-Mars-la-Pile,215730.0
37123,Langeais,50029.68
37133,Loché-sur-Indrois,122161.65
37150,Mazières-de-Touraine,60722.86
37156,Montlouis-sur-Loire,199500.0
37206,Saint-Antoine-du-Rocher,544152.01
37263,Truyes,977700.0
38053,Bourgoin-Jallieu,12728000.0
38129,Corrençon-en-Vercors,38081.0
38184,Grenay,320200.0
38185,Grenoble,99302000.0
38239,Moirans,1160000.0
38247,Montalieu-Vercieu,2296000.0
38323,Pressins,4417000.0
38344,Roussillon,11336600.0
38544,Vienne,1464700.54
38548,Villard-de-Lans,18404.0
39182,Crissey,74725.0
39246,Gendrey,108925.0
39345,Monnières,178000.0
39475,Saint-Amour,5900.0
39494,Saint-Pierre,1628779.45
39508,Sellières,100058.0
40004,Angresse,421152.33
40119,Hagetmau,3492500.0
40192,Mont-de-Marsan,2392060.8
40273,Saint-Martin-de-Seignanx,395333.0
40286,Samadet,1757111.36
41018,Blois,3170.68
41029,Candé-sur-Beuvron,119918.0
41032,Chailles,69149.35
41157,Mur-de-Sologne,193780.0
41242,Selles-sur-Cher,1031213.62
42012,Bard,66200.0
42127,Mably,3985500.0
42147,Montbrison,11607596.0
42187,Roanne,19156569.0
42205,Saint-Bonnet-le-Courreau,203558.0
42218,Saint-Étienne,942000.0
42323,Veauche,4840000.0
44002,Aigrefeuille-sur-Maine,109010.0
44072,Herbignac,1617683.0
44081,Legé,80000.0
44100,Monnières,178000.0
44109,Nantes,25269288.0
44114,Orvault,252546.35
44129,Pontchâteau,83200.0
44134,Pouillé-les-Côteaux,5196869.0
44142,Remouillé,35670.92
44143,Rezé,269469.88
45082,Châteauneuf-sur-Loire,3825746.0
45167,Huisseau-sur-Mauves,406455.56
45231,Oison,7668109.0
45234,Orléans,1230546.0
45268,Saint-Aignan-le-Jaillard,562160.0
45277,Saint-Florent,435050.0
45279,Saint-Germain-des-Prés,5650922.0
45285,Saint-Jean-de-la-Ruelle,3020593.0
45294,Saint-Michel,630459.45
45316,Sury-aux-Bois,81814.19
45335,Vienne-en-Val,75410.22
46029,Biars-sur-Cère,3287972.0
46031,Blars,3200000.0
46118,Gignac,55900.0
46128,Gramat,967043.0
46139,Labathude,4340409.0
46143,Lacapelle-Marival,4288398.0
46144,Lacave,4339850.0
46204,Montfaucon,588000.0
46332,Viazac,1777201.0
47004,Aiguillon,1523193.0
47015,Astaffort,3883764.0
47073,Cours,935000.0
47175,Monflanquin,1935150.0
47222,La Réunion,153461844.0
47229,Saint-Astier,303336.0
48043,Châteauneuf-de-Randon,60009.0
48092,Marvejols,1126440.0
48095,Mende,422720.0
49007,Angers,5018926.0
49023,Beaupréau-en-Mauges,174000.0
49218,Montrevault-sur-Èvre,107766.86
49284,Saint-Germain-des-Prés,5650922.0
49301,Sèvremoine,171582.0
49331,Segré-en-Anjou Bleu,2891615.76
49347,Tiercé,576750.0
50081,Bréville-sur-Mer,4223776.0
50232,Hauteville-la-Guichard,2385000.0
50410,Pontorson,8405712.0
50483,Saint-Gilles,3898872.0
50551,Saint-Sauveur-le-Vicomte,1011731.0
50568,Saussey,2397983.0
50647,Yquelon,89465.0
51043,Bazancourt,510000.0
51115,Champfleury,5365390.0
51163,Congy,17671373.0
51165,Connantre,7415200.0
51248,Fère-Champenoise,5460503.0
51285,Haussimont,60400.0
51378,Monthelon,553650.0
51380,Montmirail,529175.0
51412,Ognes,6651110.0
51440,Pontfaverger-Moronvilliers,183843.0
51450,Puisieulx,5040567.0
51484,Saint-Gilles,3898872.0
51509,Saint-Pierre,1628779.45
51515,Saint-Remy-sur-Bussy,160244.0
51530,Sept-Saulx,169840.0
51596,Vauchamps,2955700.0
52066,Brachay,2485000.0
52212,Fronville,4939080.0
52447,Saint-Ciergues,6314471.0
52505,Vaudrecourt,4543000.0
53077,Cossé-le-Vivien,207300.0
53127,Lassay-les-Châteaux,23550.0
53147,Mayenne,80000.0
53178,Peuton,32992.0
54030,Autrepierre,1968000.0
54038,Azerailles,6160.0
54096,Bréhain-la-Ville,5428049.0
54099,Val de Briey,4300074.0
54176,Einville-au-Jard,136000.0
54196,Flavigny-sur-Moselle,2450690.85
54222,Gerbéviller,4407972.0
54230,Gogney,2556977.0
54296,Laneuvelotte,169500.0
54329,Lunéville,665000.0
54351,Marbache,132000.0
54393,Moyen,9240.0
54395,Nancy,7054848.0
54397,Neuves-Maisons,52570.0
54475,Saint-Germain,4860000.0
54499,Seicheprey,4082820.0
54518,Thiaucourt-Regniéville,47458.8
54528,Toul,5840270.0
54556,Vého,3057677.0
54563,Vézelise,850000.0
54584,Villey-Saint-Étienne,300070.0
55029,Bar-le-Duc,5100953.4
55040,Beausite,152000.0
55054,Bislée,4162225.0
55122,Commercy,17314.0
55125,Contrisson,8643080.0
55214,Givrauval,318198.0
55502,Stenay,107730.0
55545,Verdun,5467059.0
56010,Baud,73147.77
56014,Berné,145602.2
56026,Bubry,192000.0
56076,Guern,172870.0
56090,Inzinzac-Lochrist,3147844.66
56117,Locminé,4219150.0
56121,Lorient,1537000.0
56125,Malguénac,140101.33
56162,Ploemeur,61200.0
56178,Pontivy,75860.0
56251,Theix-Noyalo,8859.0
56260,Vannes,13042000.0
57037,Aube,1276325.0
57124,Cattenom,1226040.0
57160,Creutzwald,3277500.0
57227,Forbach,1877490.0
57447,Marly,496000.0
57456,Meisenthal,307120.0
57463,Metz,185000.0
57478,Montdidier,3728034.0
57483,Morhange,8526740.0
57540,Phalsbourg,7717051.0
57618,Saint-Louis,509179.0
57629,Sarraltroff,2485000.0
57736,Vry,4903000.0
58083,Corbigny,692250.0
58253,Sainte-Marie,287442.47
58304,Varzy,1188518.0
59139,Caudry,1248134.18
59165,Cuincy,342165.0
59199,Erchin,166086.23
59212,Estaires,5116672.0
59271,Grande-Synthe,13217884.0
59350,Lille,530197.5
59359,Loon-Plage,7942500.0
59383,Marly,496000.0
59512,Roubaix,2778000.0
59622,Villers-en-Cauchies,4087704.0
60049,Bazancourt,510000.0
60226,Ève,5406455.0
60333,Lachapelle-aux-Pots,104867.0
60358,Lévignen,4596625.0
60450,Neuilly-en-Thelle,9490000.0
60473,Ognes,6651110.0
60591,Saint-Paul,737219.0
60634,Thieux,5493500.0
61001,Alençon,154000.0
61008,Aube,1276325.0
61078,Cerisy-Belle-Étoile,3850000.0
61129,Courgeon,8200000.0
61189,Giel-Courteilles,2008961.0
61234,Lonrai,3880000.0
61240,Macé,7800000.0
61243,Magny-le-Désert,6334000.0
