municipality_code,avg_net_salary,year
03262,25458.990737716544,2019-01-01
03264,23829.990947025537,2019-01-01
03298,22303.30357060769,2019-01-01
03304,27600.42583276324,2019-01-01
03310,24373.49856127477,2019-01-01
03321,24702.527922163725,2019-01-01
04019,22155.711804846982,2019-01-01
04049,24789.088940482598,2019-01-01
04070,22175.450410986603,2019-01-01
04088,23764.631251547555,2019-01-01
04094,24624.359122114933,2019-01-01
04112,26222.4813306871,2019-01-01
04116,23726.94247558726,2019-01-01
04143,26517.181418295753,2019-01-01
04149,24801.282062181348,2019-01-01
04152,32800.87315052003,2019-01-01
04197,24544.684454447248,2019-01-01
04209,24538.73571068447,2019-01-01
04230,24733.061352202843,2019-01-01
04242,26154.589668740253,2019-01-01
04245,25438.99418412661,2019-01-01
05006,23840.477245348946,2019-01-01
05017,24198.746675828268,2019-01-01
05023,23692.118389936364,2019-01-01
05040,24139.691114837482,2019-01-01
05046,23078.701773011613,2019-01-01
05061,23298.82760034812,2019-01-01
05065,22755.145556018146,2019-01-01
05070,22013.912875111982,2019-01-01
05132,24205.837695266142,2019-01-01
05170,21880.10600185974,2019-01-01
05179,22845.38619111148,2019-01-01
06004,30073.77307999483,2019-01-01
06006,31132.51234168821,2019-01-01
06007,31123.525784157897,2019-01-01
06010,33404.125558954154,2019-01-01
06011,26446.060578165776,2019-01-01
06012,24651.02699599558,2019-01-01
06018,40798.56599354353,2019-01-01
06023,23183.880589580614,2019-01-01
06027,27964.47404028806,2019-01-01
06029,26269.00033070404,2019-01-01
06030,26474.30635672968,2019-01-01
06033,26048.923741312843,2019-01-01
06038,36599.856375049974,2019-01-01
06044,34678.17459719376,2019-01-01
06046,30894.585512622645,2019-01-01
06048,26083.43106469992,2019-01-01
06054,24081.69920328026,2019-01-01
06057,24235.70539571709,2019-01-01
06059,30531.08868312868,2019-01-01
06064,29787.69550026925,2019-01-01
06065,33510.390378926364,2019-01-01
06069,28510.905698174534,2019-01-01
06075,27499.924065905387,2019-01-01
06079,28309.959337869663,2019-01-01
06083,23343.925450374067,2019-01-01
06084,35932.367913367016,2019-01-01
06085,33865.49229192893,2019-01-01
06088,26015.300538037533,2019-01-01
06089,44449.66561873818,2019-01-01
06090,28331.554188646984,2019-01-01
06091,25248.38227653869,2019-01-01
06095,30518.734455701488,2019-01-01
06104,26226.96288618115,2019-01-01
06105,47577.95738330126,2019-01-01
06108,31294.504654018794,2019-01-01
06112,40135.19688634457,2019-01-01
06114,25104.292439053646,2019-01-01
06118,29692.442579033595,2019-01-01
06122,33675.43157933027,2019-01-01
06123,27595.61466674904,2019-01-01
06126,26350.70120912247,2019-01-01
06128,36429.63832338213,2019-01-01
06130,28576.832113182812,2019-01-01
06136,23414.657781419093,2019-01-01
06140,29478.471183522637,2019-01-01
06147,27016.10734921608,2019-01-01
06148,35112.670755420986,2019-01-01
06149,23974.26131752397,2019-01-01
06150,29219.28693779313,2019-01-01
06152,40060.13361757772,2019-01-01
06155,26896.733350358867,2019-01-01
06157,30497.891753020867,2019-01-01
06159,29928.16092960676,2019-01-01
06161,29991.31106333835,2019-01-01
06163,21367.69723330606,2019-01-01
07010,23912.167193147143,2019-01-01
07019,22310.922239602358,2019-01-01
07041,25427.47298466557,2019-01-01
07042,24565.033725589445,2019-01-01
07055,26874.868913391412,2019-01-01
07064,25341.512506524214,2019-01-01
07066,24729.905892307244,2019-01-01
07070,25997.288068835718,2019-01-01
07076,26785.56292209871,2019-01-01
07078,25824.692159128223,2019-01-01
07102,26882.41362420596,2019-01-01
07117,22446.431751474825,2019-01-01
07129,21921.950438125183,2019-01-01
07138,23108.358280624707,2019-01-01
07172,27795.64050533106,2019-01-01
07181,22855.099852654526,2019-01-01
07186,23086.5902220479,2019-01-01
07191,25437.51293791908,2019-01-01
07197,24630.07970935585,2019-01-01
07201,19836.89404470792,2019-01-01
07204,22377.62190426981,2019-01-01
07231,24920.245152102118,2019-01-01
07240,28975.745576008685,2019-01-01
07245,27020.48089499268,2019-01-01
07264,27973.43446983831,2019-01-01
07281,30278.003759968145,2019-01-01
07308,24365.174258204774,2019-01-01
07316,28844.570651140784,2019-01-01
07319,22584.92998511459,2019-01-01
07324,25429.05230881306,2019-01-01
07325,25199.745102042783,2019-01-01
07330,22010.11955087036,2019-01-01
07331,22033.009542439708,2019-01-01
07334,20859.458565224188,2019-01-01
07337,26196.682321713903,2019-01-01
07341,23236.369245687598,2019-01-01
07346,24519.81236082269,2019-01-01
07349,22935.313608341134,2019-01-01
08053,24820.03415806788,2019-01-01
08081,22732.113408306483,2019-01-01
08090,22928.88719371414,2019-01-01
08105,23612.141648679586,2019-01-01
08142,23072.29845177366,2019-01-01
08145,24951.26741413852,2019-01-01
08174,24475.603188418747,2019-01-01
08185,21384.494038020934,2019-01-01
08190,22557.593222329986,2019-01-01
08302,23515.617456136988,2019-01-01
08311,25162.95564774937,2019-01-01
08327,23264.497553141566,2019-01-01
08328,22790.73923421495,2019-01-01
08362,23264.681735222017,2019-01-01
08363,22018.987073418608,2019-01-01
08367,22807.34287851838,2019-01-01
08409,22437.24714871003,2019-01-01
08480,24000.336644856932,2019-01-01
08488,25172.89181440579,2019-01-01
08490,22671.8294338556,2019-01-01
08491,24242.850280347968,2019-01-01
09122,23337.07360454852,2019-01-01
09157,22210.405578162256,2019-01-01
09160,21196.775021964542,2019-01-01
09167,24036.19167546397,2019-01-01
09185,24259.332341517,2019-01-01
09194,24617.1670230375,2019-01-01
09225,22646.110965638887,2019-01-01
09261,22215.80021663912,2019-01-01
09265,24386.265153850964,2019-01-01
09282,24404.96248385232,2019-01-01
09306,22680.886702239037,2019-01-01
09312,25552.526699230806,2019-01-01
09324,23745.778126753223,2019-01-01
09332,25204.170471985955,2019-01-01
10003,23714.72297874935,2019-01-01
10006,23002.825280696346,2019-01-01
10033,22575.004062978456,2019-01-01
10034,21684.716779670493,2019-01-01
10060,25148.06059884045,2019-01-01
10064,22569.365127058565,2019-01-01
10081,21604.532010245908,2019-01-01
10209,25117.91112925585,2019-01-01
10265,21945.8463678039,2019-01-01
10268,25915.12713166341,2019-01-01
10297,23111.15407770915,2019-01-01
10321,28626.553939764144,2019-01-01
10323,21911.786197101348,2019-01-01
10325,26595.282303512653,2019-01-01
10333,25057.1507670302,2019-01-01
10340,25407.623112102323,2019-01-01
10343,25166.97991301312,2019-01-01
10349,27219.690758360284,2019-01-01
10357,24270.402868425717,2019-01-01
10362,25186.43121482033,2019-01-01
10387,23085.44666522585,2019-01-01
10401,22120.28295747889,2019-01-01
10420,26230.7536576156,2019-01-01
11012,24290.93911353164,2019-01-01
11049,22686.53533958375,2019-01-01
11069,22589.733248543187,2019-01-01
11076,22697.62693079209,2019-01-01
11099,22966.24048294394,2019-01-01
11106,23383.03953740518,2019-01-01
11116,22677.088032008956,2019-01-01
11145,22712.062013895986,2019-01-01
11170,23628.01079546417,2019-01-01
11202,22177.21259199154,2019-01-01
11203,22261.76591100717,2019-01-01
11206,21693.53566302541,2019-01-01
11262,23399.278860978382,2019-01-01
11266,22059.302573793946,2019-01-01
11269,22969.362727828244,2019-01-01
11272,25519.132483979858,2019-01-01
11279,23286.145400235902,2019-01-01
11304,20972.68295090805,2019-01-01
11353,22881.928811564005,2019-01-01
11360,24388.89170987396,2019-01-01
11369,24214.924358554752,2019-01-01
11370,24801.172990789102,2019-01-01
11379,23407.11155183892,2019-01-01
11397,21843.14271093864,2019-01-01
11429,25075.161050569262,2019-01-01
11441,25381.913891999757,2019-01-01
12013,21978.67480377442,2019-01-01
12033,23402.70020905708,2019-01-01
12043,25287.980916002532,2019-01-01
12052,23103.610568577453,2019-01-01
12056,23185.673849739313,2019-01-01
12089,21715.79210940285,2019-01-01
12090,27507.08756562767,2019-01-01
12096,22990.46587226771,2019-01-01
12100,22700.828617112827,2019-01-01
12102,24918.512742124454,2019-01-01
12120,22253.213020485902,2019-01-01
12133,24756.94191912924,2019-01-01
12145,23162.89722174665,2019-01-01
12146,24939.970543634325,2019-01-01
12169,24154.77412311291,2019-01-01
12174,25562.27618390774,2019-01-01
12176,24436.865209316376,2019-01-01
12202,24024.899097877682,2019-01-01
12208,23196.572588399755,2019-01-01
12224,22300.351296889483,2019-01-01
12254,26175.86478705999,2019-01-01
12264,24540.277108264923,2019-01-01
12270,22138.468711603244,2019-01-01
12300,22979.910258777843,2019-01-01
13001,32145.168030821846,2019-01-01
13002,31631.438098861694,2019-01-01
13003,31893.375276513838,2019-01-01
13004,24781.515189860158,2019-01-01
13005,26411.04402117017,2019-01-01
13007,29921.296049425695,2019-01-01
13010,27634.9026083696,2019-01-01
13014,23540.926046096734,2019-01-01
13015,36029.0346518091,2019-01-01
13016,31644.231407943702,2019-01-01
13018,25560.43473284173,2019-01-01
13019,39725.71830831969,2019-01-01
13020,30884.041153304068,2019-01-01
13021,41483.2506766183,2019-01-01
13022,35052.672200533816,2019-01-01
13023,34686.534962140686,2019-01-01
13024,27118.403123417054,2019-01-01
13025,36855.47295286402,2019-01-01
13026,27140.144954881318,2019-01-01
13027,25034.70423656639,2019-01-01
13028,28542.105473853615,2019-01-01
13030,28805.482846912408,2019-01-01
13031,29174.04495708721,2019-01-01
13032,40651.43683882372,2019-01-01
13033,36050.179644887234,2019-01-01
13035,31202.55371043065,2019-01-01
13036,26825.29095787814,2019-01-01
13037,31274.880900913467,2019-01-01
13038,29003.4629622243,2019-01-01
13039,28284.351964173213,2019-01-01
13040,32848.155625256244,2019-01-01
13041,25754.50406365509,2019-01-01
13042,35911.67367956332,2019-01-01
13043,27578.524338253254,2019-01-01
13044,32448.930525861484,2019-01-01
13045,26020.894749013525,2019-01-01
13046,33509.531478531106,2019-01-01
13047,27629.488468859912,2019-01-01
13048,29878.606943943574,2019-01-01
13050,30608.879488538623,2019-01-01
13051,31317.363670540766,2019-01-01
13052,26294.22276731924,2019-01-01
13053,29161.506250635848,2019-01-01
13054,25761.695849105763,2019-01-01
13055,27189.948029185944,2019-01-01
13056,28275.472310291934,2019-01-01
13058,27799.648984143398,2019-01-01
13059,30313.119763018818,2019-01-01
13060,32543.775947762533,2019-01-01
13062,34510.474733607414,2019-01-01
13063,24440.825662662133,2019-01-01
13064,28845.824061997486,2019-01-01
13065,28945.901886028765,2019-01-01
13066,26234.271725355695,2019-01-01
13067,25748.248510060806,2019-01-01
13068,33985.88794583218,2019-01-01
13069,32908.681937016714,2019-01-01
13070,26999.79795232611,2019-01-01
13071,29362.968461927467,2019-01-01
13072,36510.15891727314,2019-01-01
13073,30586.55615264213,2019-01-01
13074,28495.722105483175,2019-01-01
13075,29085.306416720923,2019-01-01
13076,27197.61649013609,2019-01-01
13077,25972.248904300966,2019-01-01
13078,29096.463529638964,2019-01-01
13080,30803.150715069823,2019-01-01
13081,27714.419975382134,2019-01-01
13082,36864.82446890262,2019-01-01
13083,27355.410614386947,2019-01-01
13084,25697.50082851879,2019-01-01
13085,30684.169815773286,2019-01-01
13086,31032.57144160336,2019-01-01
13087,29483.894554665283,2019-01-01
13088,29683.945978968924,2019-01-01
13089,24498.638121851167,2019-01-01
13091,33426.85063882037,2019-01-01
13092,28366.071455925117,2019-01-01
13094,29423.09588854181,2019-01-01
13096,21461.42340158071,2019-01-01
13097,26956.864223378358,2019-01-01
13098,32001.95861865293,2019-01-01
13100,28497.644605368485,2019-01-01
13101,31367.528581007715,2019-01-01
13102,25285.332992808617,2019-01-01
13103,27690.370138476683,2019-01-01
13104,36273.29915729648,2019-01-01
13105,26432.52064586752,2019-01-01
13106,26481.03169727834,2019-01-01
13107,35689.435674507164,2019-01-01
13108,23147.49332655669,2019-01-01
13109,39389.03065851699,2019-01-01
13110,29047.243945730013,2019-01-01
13112,35178.88700138084,2019-01-01
13113,34226.40007841291,2019-01-01
13114,42427.574502789124,2019-01-01
13117,26076.838571527558,2019-01-01
13118,34944.35946636107,2019-01-01
13119,29839.01661851984,2019-01-01
14020,24044.185856724667,2019-01-01
14027,23225.847908536733,2019-01-01
14047,23824.397409018027,2019-01-01
14060,30175.902361932964,2019-01-01
14061,23478.45402322038,2019-01-01
14066,26789.739087750557,2019-01-01
14068,32582.28765142588,2019-01-01
14076,23974.07213381016,2019-01-01
14092,26008.163829011548,2019-01-01
14098,26491.372733286542,2019-01-01
14101,29067.92082950428,2019-01-01
14117,24313.014236692637,2019-01-01
14118,25395.455980911738,2019-01-01
14123,35253.580040494446,2019-01-01
14137,23661.03425522619,2019-01-01
14143,22259.63792531679,2019-01-01
14166,29428.773083817738,2019-01-01
14167,21365.277411023548,2019-01-01
14174,23383.20409818648,2019-01-01
14181,25492.45053342023,2019-01-01
14191,25504.521641352025,2019-01-01
14200,25539.781804407958,2019-01-01
14215,24780.911867783158,2019-01-01
14220,27188.65654201242,2019-01-01
14221,24943.94536829413,2019-01-01
14225,21944.368077126765,2019-01-01
14228,28351.7804748229,2019-01-01
14229,20984.51299241952,2019-01-01
14257,27511.99796467395,2019-01-01
14258,22072.931562551323,2019-01-01
14271,23920.09925642665,2019-01-01
14274,30366.22354560103,2019-01-01
14301,23505.578303602666,2019-01-01
14325,28951.387834631812,2019-01-01
14327,22768.189381160682,2019-01-01
14333,24691.71474296454,2019-01-01
14341,24173.025149736004,2019-01-01
14342,23284.57015508442,2019-01-01
14349,26453.066731942214,2019-01-01
14365,27642.332111948188,2019-01-01
14366,22184.554801708753,2019-01-01
14370,22251.151292484483,2019-01-01
14371,23693.777138283065,2019-01-01
14383,28462.54137997871,2019-01-01
14384,28899.024127629113,2019-01-01
14407,36179.544846738216,2019-01-01
14409,29420.955366002017,2019-01-01
14431,23286.48510516128,2019-01-01
14437,23483.01169068291,2019-01-01
14456,24330.38818128737,2019-01-01
14475,25514.033677470703,2019-01-01
14488,26771.724456103897,2019-01-01
14514,22885.482406487066,2019-01-01
14516,22893.421690236006,2019-01-01
14536,28402.897327066632,2019-01-01
14543,29164.171278804744,2019-01-01
14562,28075.45048718355,2019-01-01
14566,34144.80284799256,2019-01-01
14570,23412.28159588209,2019-01-01
14587,23879.30076063386,2019-01-01
14623,26429.760387795308,2019-01-01
14654,22635.94840381001,2019-01-01
14658,22305.179453345878,2019-01-01
14663,25075.77315607928,2019-01-01
14675,26498.526669292867,2019-01-01
14689,23820.194544331825,2019-01-01
14699,24339.80100838832,2019-01-01
14712,24991.63655109703,2019-01-01
14715,25066.39246848646,2019-01-01
14726,22294.21926675416,2019-01-01
14738,27257.29077239313,2019-01-01
14752,23210.57849881134,2019-01-01
14754,26130.968612882953,2019-01-01
14762,23304.32186900017,2019-01-01
15012,23922.62256452814,2019-01-01
15014,22512.833040615737,2019-01-01
15083,24118.594735263392,2019-01-01
15120,20639.00483693376,2019-01-01
15122,22044.755954091423,2019-01-01
15140,23751.469052206532,2019-01-01
15162,23076.44509078763,2019-01-01
15187,21115.959372917143,2019-01-01
15267,24251.118403264845,2019-01-01
16015,25136.98066542335,2019-01-01
16028,23232.56034117873,2019-01-01
16061,25285.826018940763,2019-01-01
16078,26925.8768183607,2019-01-01
16085,21542.85769078461,2019-01-01
16089,26552.121207885728,2019-01-01
16090,23659.620053163824,2019-01-01
16097,27846.443053240448,2019-01-01
16102,28059.333648038417,2019-01-01
16106,23534.149928704694,2019-01-01
16113,22646.355232644237,2019-01-01
16138,26973.378477948267,2019-01-01
16146,27995.585939213805,2019-01-01
16154,23788.96855159152,2019-01-01
16166,24317.03227402449,2019-01-01
16167,25756.44937091372,2019-01-01
16187,26418.001264433693,2019-01-01
16192,23201.86150566575,2019-01-01
16199,26449.774266479926,2019-01-01
16223,21813.71352682304,2019-01-01
16230,22387.038420918627,2019-01-01
16232,26045.52067042344,2019-01-01
16236,26081.54206715384,2019-01-01
16244,23926.939389227242,2019-01-01
16271,32917.294841534545,2019-01-01
16281,23378.777583387768,2019-01-01
16286,23411.484635763776,2019-01-01
16287,24053.028998037862,2019-01-01
16291,25114.194798787816,2019-01-01
16292,20699.67712352012,2019-01-01
16341,23618.569215764608,2019-01-01
16358,27823.658616218007,2019-01-01
16366,25381.031694704317,2019-01-01
16374,24095.884961301053,2019-01-01
16393,24085.713102567843,2019-01-01
17003,24752.84818019268,2019-01-01
17008,26143.35661679196,2019-01-01
17010,29207.99017066622,2019-01-01
17021,21162.59979102597,2019-01-01
17028,24515.593476585484,2019-01-01
17051,30112.23610456534,2019-01-01
17058,22025.04638821214,2019-01-01
17064,26361.499498022236,2019-01-01
17086,24780.127542683244,2019-01-01
17093,23175.008470129884,2019-01-01
17094,29237.55429396293,2019-01-01
17131,21162.11726440448,2019-01-01
17140,22413.2235415361,2019-01-01
17142,27964.921918291177,2019-01-01
17146,24177.302805770654,2019-01-01
17153,26581.48925461975,2019-01-01
17155,22720.076887994488,2019-01-01
17161,24408.415267583805,2019-01-01
17164,28275.349105523703,2019-01-01
17168,27570.543432850787,2019-01-01
17172,22787.37171433032,2019-01-01
17185,20565.61811594217,2019-01-01
17190,33737.572262118636,2019-01-01
17193,26149.0536899006,2019-01-01
17194,26822.373731611642,2019-01-01
17197,22057.931683803654,2019-01-01
17200,30232.74790722168,2019-01-01
17218,22853.70515900254,2019-01-01
17219,22271.49540169481,2019-01-01
17222,29171.360139870678,2019-01-01
17224,23054.37485855304,2019-01-01
17225,23262.226632076075,2019-01-01
17228,23698.93842879417,2019-01-01
17230,23902.557544673633,2019-01-01
17240,23179.9609184416,2019-01-01
17264,28295.215024376303,2019-01-01
17274,28749.91353958779,2019-01-01
17283,22223.253659509082,2019-01-01
17291,27712.03334064256,2019-01-01
17297,32137.822584198053,2019-01-01
17299,22914.57594286606,2019-01-01
17300,25792.50723679412,2019-01-01
17306,23853.692642009963,2019-01-01
17308,23745.808086729638,2019-01-01
17333,26327.469048542294,2019-01-01
17336,24861.67237213041,2019-01-01
17337,22905.013974900332,2019-01-01
17347,22672.13104948392,2019-01-01
17349,24349.200390199967,2019-01-01
17351,21950.5309018703,2019-01-01
17353,25944.882196689272,2019-01-01
17360,31347.884808865718,2019-01-01
17369,23514.854199033292,2019-01-01
17373,25197.25127938691,2019-01-01
17380,27848.64270261291,2019-01-01
17385,22754.85370793562,2019-01-01
17391,28655.880225639034,2019-01-01
17397,20673.724921751542,2019-01-01
17407,27046.616844758053,2019-01-01
17409,23605.84492261541,2019-01-01
17414,26539.125431829736,2019-01-01
17415,24127.023040650707,2019-01-01
17420,29649.14048865369,2019-01-01
17421,22146.06683512041,2019-01-01
17425,22262.79256324141,2019-01-01
17429,24563.126471686348,2019-01-01
17434,23549.263698646504,2019-01-01
17449,22747.376627253456,2019-01-01
17452,22584.436229810366,2019-01-01
17461,26513.9372816753,2019-01-01
17466,25483.031340192974,2019-01-01
17472,25057.99919033538,2019-01-01
18011,23353.784308949096,2019-01-01
18015,23918.89603518415,2019-01-01
18018,21116.564462538816,2019-01-01
18033,25493.272459593667,2019-01-01
18050,25970.977627541673,2019-01-01
18087,23496.158566470767,2019-01-01
18096,23484.29486334058,2019-01-01
18108,23825.111398877518,2019-01-01
18141,24828.182478064413,2019-01-01
18148,25989.404499908123,2019-01-01
18180,28111.655634466948,2019-01-01
18197,21560.775941323707,2019-01-01
18205,28339.77632071313,2019-01-01
18207,24127.094999823268,2019-01-01
18213,23164.77903818315,2019-01-01
18223,24560.86969564028,2019-01-01
18242,21889.73635439864,2019-01-01
18267,28168.87283616824,2019-01-01
18279,22495.030532874902,2019-01-01
18281,25378.14908582608,2019-01-01
19005,24609.45926774626,2019-01-01
19010,23102.590885866128,2019-01-01
19028,20967.970098248992,2019-01-01
19031,24509.976577922105,2019-01-01
19063,27163.674178005087,2019-01-01
19072,26647.74043985708,2019-01-01
19073,22898.87518325662,2019-01-01
19121,23127.99002974751,2019-01-01
19123,24067.432475007558,2019-01-01
19136,22599.09207452788,2019-01-01
19146,25449.93491682751,2019-01-01
19153,23724.56642310464,2019-01-01
19229,25335.15748388297,2019-01-01
19272,22060.23822144979,2019-01-01
19274,28505.559012487647,2019-01-01
19275,22332.840735492013,2019-01-01
19276,23601.585017322308,2019-01-01
19278,25088.28198116877,2019-01-01
21021,30990.381385344466,2019-01-01
21038,23394.03842623011,2019-01-01
21054,26294.53249926212,2019-01-01
21103,24249.85453851724,2019-01-01
21154,21562.595063363347,2019-01-01
21166,22374.961363103797,2019-01-01
21171,25658.97038338216,2019-01-01
21231,26111.473894882383,2019-01-01
21278,33349.61065103159,2019-01-01
21292,24236.59996175982,2019-01-01
21295,25351.711808706557,2019-01-01
21317,25632.898924487945,2019-01-01
21355,24129.79025158083,2019-01-01
21390,26787.438187495438,2019-01-01
21416,25605.77122257645,2019-01-01
21425,22011.544625565766,2019-01-01
21452,27398.914233398886,2019-01-01
21464,24801.92377429858,2019-01-01
21481,26264.102818767988,2019-01-01
21485,25409.184408021603,2019-01-01
21515,24540.24345431859,2019-01-01
21540,28019.39998240856,2019-01-01
21584,22213.69930272438,2019-01-01
21599,25511.721810006613,2019-01-01
21603,24133.657909436708,2019-01-01
21605,27085.93803778171,2019-01-01
21607,22723.312518483668,2019-01-01
21617,29226.806072754476,2019-01-01
21663,22950.9391471997,2019-01-01
22004,23320.827538777314,2019-01-01
22013,22974.048893501156,2019-01-01
22020,23548.589741583088,2019-01-01
22025,21820.873000785952,2019-01-01
22032,22425.0576630768,2019-01-01
22046,22678.748868042534,2019-01-01
22048,23572.220844335254,2019-01-01
22050,26668.938635725026,2019-01-01
22054,26726.519494357963,2019-01-01
22055,29639.627559293756,2019-01-01
22067,25930.89866826168,2019-01-01
22070,22460.01350539292,2019-01-01
22079,23433.66555628316,2019-01-01
22081,25680.23601665213,2019-01-01
22084,22737.281928873883,2019-01-01
22093,24864.78940246064,2019-01-01
22106,25183.805019614698,2019-01-01
22113,27785.238065455782,2019-01-01
22118,26137.093554422583,2019-01-01
22134,31583.05058809282,2019-01-01
22135,22707.347441896567,2019-01-01
22136,22827.42127233404,2019-01-01
22147,22590.39409506516,2019-01-01
22155,22821.37767360214,2019-01-01
22158,22967.49425579063,2019-01-01
22161,25108.233320572217,2019-01-01
22162,24522.870437234084,2019-01-01
22166,27813.48273931737,2019-01-01
22168,30152.442769965517,2019-01-01
22171,24675.57603592045,2019-01-01
22172,21025.874794647632,2019-01-01
22176,23443.035232782797,2019-01-01
22182,24002.2803310088,2019-01-01
22183,22429.578285136202,2019-01-01
22185,22798.187479238808,2019-01-01
22186,26953.90046050283,2019-01-01
22187,29165.70034458917,2019-01-01
22190,23484.60316970986,2019-01-01
22194,25236.581875788008,2019-01-01
22195,22648.72955503959,2019-01-01
22197,26315.33359424497,2019-01-01
22198,30824.989193471567,2019-01-01
22203,22917.744223478654,2019-01-01
22206,23404.284728052597,2019-01-01
22207,23000.622930745638,2019-01-01
22209,23419.844088936567,2019-01-01
22210,28024.061605697443,2019-01-01
22211,25247.23860754696,2019-01-01
22213,27563.022319275708,2019-01-01
22214,24212.496421101714,2019-01-01
22215,23810.60585624503,2019-01-01
22219,22833.477368160373,2019-01-01
22222,23776.343726711937,2019-01-01
22225,23858.091688295048,2019-01-01
22226,24026.12896445853,2019-01-01
